epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,529.629,0.51374,0.40809,0.95665,0.95873,0.92775,0.98108,0.86469,0.44291,0.36212,0.75601,0.000874842,0.000874842,0.000874842
122,534.274,0.5072,0.40514,0.95385,0.94791,0.90839,0.96185,0.82249,0.57645,0.40997,0.80489,0.00086824,0.00086824,0.00086824
123,538.426,0.52507,0.42289,0.96238,0.9583,0.91275,0.98155,0.81764,0.63814,0.38166,0.80203,0.000861639,0.000861639,0.000861639
124,542.605,0.51243,0.40305,0.95404,0.94969,0.9438,0.98613,0.78039,0.80783,0.41104,0.81718,0.000855038,0.000855038,0.000855038
125,546.803,0.51319,0.40837,0.9578,0.9481,0.88087,0.95598,0.76784,0.71755,0.47924,0.83981,0.000848436,0.000848436,0.000848436
126,551.024,0.52116,0.402,0.96065,0.95796,0.89474,0.97359,0.82951,0.60092,0.41032,0.81244,0.000841835,0.000841835,0.000841835
127,555.576,0.51246,0.4028,0.95852,0.95037,0.93725,0.98235,0.89274,0.40355,0.33461,0.73862,0.000835234,0.000835234,0.000835234
128,559.782,0.5212,0.40479,0.95968,0.95674,0.91477,0.98232,0.88229,0.43612,0.34397,0.76059,0.000828632,0.000828632,0.000828632
129,564.384,0.48977,0.38795,0.9526,0.95769,0.93433,0.98569,0.88219,0.45633,0.33742,0.75496,0.000822031,0.000822031,0.000822031
130,568.635,0.50425,0.41052,0.95615,0.95611,0.93624,0.98588,0.86158,0.54109,0.34772,0.76395,0.00081543,0.00081543,0.00081543
131,572.948,0.51398,0.40247,0.96045,0.97183,0.92628,0.98494,0.85475,0.53987,0.35242,0.78015,0.000808828,0.000808828,0.000808828
132,577.192,0.50268,0.39494,0.95514,0.83852,0.65638,0.7632,0.52405,1.08257,1.39791,1.03736,0.000802227,0.000802227,0.000802227
133,581.361,0.51203,0.39763,0.94952,0.93688,0.92641,0.97821,0.81419,0.64905,0.4086,0.79621,0.000795626,0.000795626,0.000795626
134,585.868,0.49748,0.39084,0.95272,0.95812,0.92887,0.98428,0.80561,0.75768,0.41307,0.79915,0.000789024,0.000789024,0.000789024
135,590.189,0.47797,0.38653,0.95284,0.9602,0.90705,0.97437,0.72216,0.99181,0.4747,0.86356,0.000782423,0.000782423,0.000782423
136,594.39,0.485,0.39039,0.94749,0.96095,0.93523,0.98573,0.8203,0.66261,0.37521,0.77568,0.000775822,0.000775822,0.000775822
137,598.796,0.48368,0.3854,0.94986,0.95764,0.91812,0.9775,0.85485,0.5149,0.38773,0.79132,0.00076922,0.00076922,0.00076922
138,603.167,0.48943,0.38617,0.95058,0.97201,0.93859,0.98746,0.87017,0.54175,0.33011,0.75081,0.000762619,0.000762619,0.000762619
139,607.409,0.4891,0.38938,0.94859,0.95997,0.94971,0.98855,0.88852,0.49953,0.32662,0.74181,0.000756018,0.000756018,0.000756018
